,0
0,Connecticut
1,Delaware
2,Idaho
3,Illinois
4,Indiana
5,Iowa
6,Kansas
7,Kentucky
8,Louisiana
9,Maryland
10,Massachusetts
11,Michigan
12,Minnesota
13,Mississippi
14,Missouri
15,Nebraska
16,New Hampshire
17,New Mexico
18,North Dakota
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Tennessee
23,Vermont
24,West Virginia
25,Wisconsin
26,Wyoming
